Class,Precision,Recall,F1 Score,Support
down,0.9164619164619164,0.7371541501976284,0.8170865279299014,506
go,0.8194774346793349,0.6872509960159362,0.7475622968580715,502
left,0.8024475524475524,0.8595505617977528,0.8300180831826401,534
no,0.7602131438721137,0.8492063492063492,0.8022492970946579,504
off,0.720125786163522,0.8740458015267175,0.7896551724137931,524
on,0.8916666666666667,0.8699186991869918,0.8806584362139918,492
right,0.9031620553359684,0.8822393822393823,0.892578125,518
stop,0.7727272727272727,0.8192771084337349,0.7953216374269005,498
up,0.7588996763754046,0.8621323529411765,0.8072289156626506,544
yes,0.9553349875930521,0.751953125,0.8415300546448088,512
