Class,Precision,Recall,F1 Score,Support
down,0.4043179587831207,0.8142292490118577,0.540327868852459,506
go,0.24419376244193763,0.7330677290836654,0.366351418616227,502
left,0.33664068036853295,0.8895131086142322,0.4884318766066838,534
no,0.5258019525801952,0.748015873015873,0.6175266175266175,504
off,0.26594533029612755,0.8912213740458015,0.40964912280701754,524
on,0.26135693215339234,0.9004065040650406,0.4051211705532693,492
right,0.22367782629791363,0.88996138996139,0.3575029081039163,518
stop,0.37308039747064137,0.8293172690763052,0.5146417445482866,498
unknown,0.0,0.0,0.0,8536
up,0.4359726295210166,0.8198529411764706,0.5692405871091257,544
yes,0.3260553129548763,0.875,0.4750795334040297,512
