Class,Precision,Recall,F1 Score,Support
down,0.33490937746256894,0.8399209486166008,0.4788732394366197,506
go,0.26685198054204307,0.7649402390438247,0.3956723338485317,502
left,0.5072992700729927,0.7808988764044944,0.6150442477876106,534
no,0.43876337693222356,0.7321428571428571,0.5486988847583643,504
off,0.3922187171398528,0.7118320610687023,0.5057627118644068,524
on,0.32637277648878577,0.8577235772357723,0.47282913165266105,492
right,0.13372402770378264,0.9691119691119691,0.2350187265917603,518
stop,0.38028169014084506,0.7590361445783133,0.5067024128686327,498
unknown,0.0,0.0,0.0,8536
up,0.3477653631284916,0.9154411764705882,0.5040485829959515,544
yes,0.48114285714285715,0.822265625,0.6070656092285508,512
