Class,Precision,Recall,F1 Score,Support
down,0.8602150537634409,0.7905138339920948,0.82389289392379,506
go,0.6561514195583596,0.8286852589641435,0.7323943661971831,502
left,0.7668810289389068,0.8932584269662921,0.8252595155709342,534
no,0.8591885441527446,0.7142857142857143,0.7800650054171181,504
off,0.8946135831381733,0.7290076335877863,0.8033648790746583,524
on,0.8455743879472694,0.9126016260162602,0.8778103616813294,492
right,0.8869395711500975,0.8783783783783784,0.8826382153249273,518
stop,0.8346774193548387,0.8313253012048193,0.8329979879275654,498
up,0.804920913884007,0.8419117647058824,0.8230008984725966,544
yes,0.8995633187772926,0.8046875,0.8494845360824742,512
